#options: 480x854 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=30 rc=abr mbtree=1 bitrate=3604 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:48 out:47 type:P dur:2 cpbdur:2 q:6.95 aq:1.02 tex:227038 mv:2224 misc:1202 imb:27 pmb:1188 smb:405 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:7.34 aq:1.35 tex:2665 mv:304 misc:1007 imb:0 pmb:212 smb:1408 d:- ref:0 ;
in:50 out:49 type:P dur:2 cpbdur:2 q:6.53 aq:0.81 tex:198214 mv:2350 misc:1348 imb:17 pmb:1076 smb:527 d:- ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:6.74 aq:2.84 tex:8644 mv:618 misc:706 imb:0 pmb:148 smb:1472 d:- ref:0 ;
in:52 out:51 type:P dur:2 cpbdur:2 q:6.64 aq:0.76 tex:222582 mv:2233 misc:1417 imb:16 pmb:992 smb:612 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:6.58 aq:2.29 tex:5304 mv:638 misc:634 imb:0 pmb:139 smb:1481 d:- ref:0 ;
in:54 out:53 type:P dur:2 cpbdur:2 q:7.35 aq:1.09 tex:167224 mv:1737 misc:1487 imb:8 pmb:858 smb:754 d:- ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:6.99 aq:2.11 tex:3779 mv:342 misc:535 imb:0 pmb:82 smb:1538 d:- ref:0 ;
in:58 out:55 type:P dur:2 cpbdur:2 q:8.20 aq:1.51 tex:152497 mv:2151 misc:1448 imb:13 pmb:733 smb:874 d:- ref:0 ;
in:56 out:56 type:B dur:2 cpbdur:2 q:7.78 aq:2.76 tex:15977 mv:1071 misc:904 imb:0 pmb:257 smb:1363 d:- ref:0 ;
in:55 out:57 type:b dur:2 cpbdur:2 q:7.56 aq:2.76 tex:3011 mv:564 misc:689 imb:0 pmb:135 smb:1485 d:- ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:7.99 aq:2.46 tex:817 mv:107 misc:380 imb:0 pmb:31 smb:1589 d:- ref:0 ;
in:62 out:59 type:P dur:2 cpbdur:2 q:8.73 aq:2.11 tex:1057931 mv:6567 misc:390 imb:237 pmb:1327 smb:56 d:- ref:0 ;
in:60 out:60 type:B dur:2 cpbdur:2 q:8.46 aq:7.54 tex:151279 mv:3413 misc:1428 imb:16 pmb:1034 smb:570 d:- ref:0 ;
